crash_date,borough,latitude,longitude,number_of_persons_injured,contributing_factor_vehicle_1
2022-03-26T00:00:00.000,BROOKLYN,40.68651,-73.98378,2,Passing or Lane Usage Improper
2022-03-24T00:00:00.000,BROOKLYN,40.69831,-73.9498,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,,40.692455,-73.76814,1,Reaction to Uninvolved Vehicle
2022-03-20T00:00:00.000,MANHATTAN,40.778805,-73.974075,1,Backing Unsafely
2022-03-26T00:00:00.000,MANHATTAN,40.747894,-73.989174,0,Passing or Lane Usage Improper
2022-03-25T00:00:00.000,BRONX,40.83578,-73.871445,0,Following Too Closely
2022-03-25T00:00:00.000,,40.61763,-74.133575,0,Driver Inattention/Distraction
2022-03-21T00:00:00.000,,40.731407,-73.99698,1,Driver Inattention/Distraction
2022-03-26T00:00:00.000,BROOKLYN,40.60784,-73.961975,0,Fell Asleep
2022-03-25T00:00:00.000,,40.752563,-73.74328,0,Unspecified
2022-03-26T00:00:00.000,BROOKLYN,40.67848,-73.98232,0,Failure to Yield Right-of-Way
2022-03-26T00:00:00.000,BROOKLYN,40.629475,-74.004166,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,BROOKLYN,40.668797,-73.93113,1,Driver Inattention/Distraction
2022-03-26T00:00:00.000,MANHATTAN,40.754707,-73.99164,1,Failure to Yield Right-of-Way
2022-03-25T00:00:00.000,BRONX,40.85713,-73.8808,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,BRONX,40.857418,-73.89996,0,Unsafe Speed
2022-03-26T00:00:00.000,QUEENS,40.702972,-73.888054,0,Unsafe Speed
2022-03-09T00:00:00.000,,40.786366,-73.97598,1,Failure to Yield Right-of-Way
2022-03-26T00:00:00.000,BROOKLYN,40.624474,-74.00668,0,Passing or Lane Usage Improper
2022-03-26T00:00:00.000,QUEENS,40.76532,-73.771904,0,Unspecified
2022-03-26T00:00:00.000,,40.597683,-73.96686,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,STATEN ISLAND,40.609768,-74.06969,1,Traffic Control Disregarded
2022-03-25T00:00:00.000,MANHATTAN,40.798286,-73.938705,0,Following Too Closely
2022-03-23T00:00:00.000,QUEENS,40.776764,-73.848015,0,Unspecified
2022-03-26T00:00:00.000,QUEENS,40.747498,-73.91309,0,Unspecified
2022-03-26T00:00:00.000,BROOKLYN,40.701637,-73.942276,1,Following Too Closely
2022-03-26T00:00:00.000,QUEENS,40.69349,-73.826546,0,Unsafe Speed
2022-03-26T00:00:00.000,QUEENS,40.726463,-73.85943,1,Unsafe Speed
2022-03-25T00:00:00.000,BRONX,40.856434,-73.886826,1,Driver Inattention/Distraction
2022-03-22T00:00:00.000,BRONX,40.87151,-73.87057,1,Turning Improperly
2022-03-26T00:00:00.000,BROOKLYN,40.68686,-73.96758,0,Passing or Lane Usage Improper
2022-03-26T00:00:00.000,,40.624763,-73.96518,1,Alcohol Involvement
2022-03-26T00:00:00.000,QUEENS,40.678417,-73.729225,0,Passing or Lane Usage Improper
2022-03-14T00:00:00.000,QUEENS,40.692596,-73.79078,0,Unspecified
2022-03-26T00:00:00.000,,40.734486,-73.891754,0,Driver Inattention/Distraction
2022-03-26T00:00:00.000,BRONX,40.88399,-73.82641,1,Following Too Closely
2022-03-26T00:00:00.000,BROOKLYN,40.683872,-73.95998,0,Driver Inattention/Distraction
2022-03-05T00:00:00.000,MANHATTAN,40.799484,-73.92929,0,Unspecified
2022-03-26T00:00:00.000,,40.70839,-74.00482,0,Passing or Lane Usage Improper
2022-03-26T00:00:00.000,MANHATTAN,40.766502,-73.99418,0,Unspecified
2022-03-26T00:00:00.000,QUEENS,40.676304,-73.816284,0,Alcohol Involvement
2022-03-26T00:00:00.000,BROOKLYN,40.66447,-73.89593,0,Unsafe Speed
2022-03-23T00:00:00.000,,40.709835,-74.014885,0,Unsafe Speed
2022-04-24T00:00:00.000,,40.585342,-73.94157,0,Driver Inattention/Distraction
2021-09-11T00:00:00.000,MANHATTAN,40.746395,-73.9856,0,Passing or Lane Usage Improper
2021-09-10T00:00:00.000,BROOKLYN,40.617004,-73.96912,0,Unspecified
